M= 30, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 31, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 32, N=4096, K=4096, cost=   0.065, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 33, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 34, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 35, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 36, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 37, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 38, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 39, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 40, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 41, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 42, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 43, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 44, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 45, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 46, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 47, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 48, N=4096, K=4096, cost=   0.079, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  1
M= 49, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 50, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 51, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 52, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 53, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 54, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 55, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 56, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 57, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 58, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 59, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 60, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 61, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 62, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 63, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 64, N=4096, K=4096, cost=   0.082, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 32, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  1
M= 65, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 66, N=4096, K=4096, cost=   0.115, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 67, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 68, N=4096, K=4096, cost=   0.115, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 69, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 70, N=4096, K=4096, cost=   0.116, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 71, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 72, N=4096, K=4096, cost=   0.117, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 73, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 74, N=4096, K=4096, cost=   0.116, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 75, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 76, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 77, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 78, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K=  8, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 79, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 80, N=4096, K=4096, cost=   0.118, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 81, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 82, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 83, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 84, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 85, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 86, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 87, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 88, N=4096, K=4096, cost=   0.119, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 64, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 89, N=4096, K=4096, cost=   0.120, config=BLOCK_TILE_M= 32, BLOCK_TILE_N=128, TILE_K= 16, THREAD_TILE_M=  8, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
